1632276023356776600,582 0,1916 0,1916 1069,582 1069,
1632276023356776600,0 0,745 0,745 1045,0 1045,
1632276023423684600,4 0,1917 0,1917 1068,4 1068,
1632276023423684600,10 0,789 0,789 1064,10 1064,
1632276023490479600,1 0,1912 0,1912 1057,1 1057,
1632276023490479600,7 0,798 0,798 1079,7 1079,
1632276023557448600,0 0,1919 0,1919 1054,0 1054,
1632276023557448600,7 0,798 0,798 1079,7 1079,
1632276023624565600,417 3,1911 3,1911 1043,417 1043,
1632276023624565600,4 0,755 0,755 1062,4 1062,
1632276023691343600,506 124,1830 124,1830 1009,506 1009,
1632276023691343600,0 3,754 3,754 1079,0 1079,
1632276023758356600,1 0,1262 0,1262 1039,1 1039,
1632276023758356600,0 2,687 2,687 1079,0 1079,
1632276023825057600,0 6,1127 6,1127 1069,0 1069,
1632276023825057600,343 766,1424 766,1424 1077,343 1077,
1632276023891991600,1 0,1058 0,1058 1066,1 1066,
1632276023891991600,372 757,1441 757,1441 1076,372 1076,
1632276023959120600,0 0,1003 0,1003 1065,0 1065,
1632276023959120600,372 757,1441 757,1441 1076,372 1076,
1632276024025818600,0 15,961 15,961 1066,0 1066,
1632276024025818600,372 757,1441 757,1441 1076,372 1076,
1632276024092695600,0 16,963 16,963 1076,0 1076,
1632276024092695600,832 332,991 332,991 946,832 946,
1632276024159654600,0 7,984 7,984 1069,0 1069,
1632276024159654600,854 316,1027 316,1027 1021,854 1021,
1632276024226564600,1 0,1028 0,1028 1075,1 1075,
1632276024226564600,845 304,1062 304,1062 1042,845 1042,
1632276024293418600,8 0,1041 0,1041 1057,8 1057,
1632276024293418600,812 272,1074 272,1074 1030,812 1030,
1632276024360349600,0 0,1043 0,1043 1076,0 1076,
1632276024360349600,795 261,1073 261,1073 1026,795 1026,
1632276024427208600,2 0,951 0,951 1079,2 1079,
1632276024427208600,759 273,1049 273,1049 1066,759 1066,
1632276024494179600,1 0,898 0,898 1079,1 1079,
1632276024494179600,729 283,1023 283,1023 1048,729 1048,
1632276024561059600,6 0,766 0,766 1079,6 1079,
1632276024561059600,702 293,993 293,993 1047,702 1047,
1632276024628112600,18 0,865 0,865 1073,18 1073,
1632276024628112600,695 348,997 348,997 1035,695 1035,
1632276024694895600,67 0,970 0,970 1079,67 1079,
1632276024694895600,718 387,1037 387,1037 994,718 994,
1632276024761646600,2 15,1028 15,1028 1076,2 1076,
1632276024761646600,784 405,1034 405,1034 974,784 974,
1632276024828523600,2 24,1040 24,1040 1064,2 1064,
1632276024828523600,811 423,1052 423,1052 926,811 926,
1632276024895678600,136 24,920 24,920 1068,136 1068,
1632276024895678600,844 421,1087 421,1087 926,844 926,
1632276024962625600,316 51,920 51,920 1066,316 1066,
1632276024962625600,849 413,1097 413,1097 927,849 927,
1632276025029507600,328 47,1248 47,1248 1057,328 1057,
1632276025029507600,837 406,1079 406,1079 832,837 832,
1632276025096249600,136 48,1056 48,1056 1069,136 1069,
1632276025096249600,795 416,1050 416,1050 913,795 913,
1632276025163158600,196 43,1068 43,1068 1073,196 1073,
1632276025163158600,780 413,1058 413,1058 799,780 799,
1632276025163158600,0 16,392 16,392 1066,0 1066,
1632276025230150600,2 24,806 24,806 1059,2 1059,
1632276025230150600,762 396,1091 396,1091 959,762 959,
1632276025296888600,7 0,772 0,772 1056,7 1056,
1632276025296888600,721 380,1094 380,1094 951,721 951,
1632276025363931600,1 0,750 0,750 1064,1 1064,
1632276025363931600,710 358,1114 358,1114 937,710 937,
1632276025430564600,6 0,742 0,742 1069,6 1069,
1632276025430564600,724 330,1129 330,1129 938,724 938,
1632276025497644600,0 0,651 0,651 1062,0 1062,
1632276025497644600,693 317,1114 317,1114 943,693 943,
1632276025497644600,0 16,392 16,392 1066,0 1066,
1632276025564555600,0 0,590 0,590 1059,0 1059,
1632276025564555600,666 324,1098 324,1098 962,666 962,
1632276025631544600,0 0,555 0,555 1042,0 1042,
1632276025631544600,640 322,1077 322,1077 974,640 974,
1632276025698406600,0 0,494 0,494 1058,0 1058,
1632276025698406600,610 312,1066 312,1066 973,610 973,
