"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632276019142150600","30.03","5","Person","OK","IDLE","0.469974 0.0165502 -0.500909","-0.182021 -0.0708696 -0.0659075","0.496878 0.452189 0.496878","87.6431","0 0 0","0 0 0 1"
"1632276019142150600","30.03","3","Person","OK","IDLE","0.3577 -0.453427 -1.9677","-1.61506 -0.309278 0.169708","0.559932 1.06487 0.559932","82.798","0 0 0","0 0 0 1"
"1632276019209050600","29.7619","5","Person","OK","IDLE","0.457637 0.0144782 -0.500909","-0.117116 -0.0946249 -0.0469994","0.497698 0.454008 0.497698","86.8876","0 0 0","0 0 0 1"
"1632276019209050600","29.7619","2","Person","TERMINATE","IDLE","0.656238 -1.20356 -1.95752","-1.5341 -0.298631 -0.11362","0.535399 4.62696 0.535399","75.0878","0 0 0","0 0 0 1"
"1632276019209050600","29.7619","3","Person","OK","IDLE","0.253089 -0.456437 -1.95434","-1.54819 -0.199267 0.230277","0.574669 1.06585 0.574669","80.8477","0 0 0","0 0 0 1"
"1632276019275725600","29.6736","5","Person","OK","IDLE","0.455617 0.0127777 -0.502817","0.0633037 -0.0185242 -0.124867","0.498161 0.455076 0.498161","90.5423","0 0 0","0 0 0 1"
"1632276019275725600","29.6736","3","Person","OK","IDLE","0.15919 -0.457011 -1.94402","-1.24173 0.0783985 0.130917","0.579898 1.06507 0.579898","87.8419","0 0 0","0 0 0 1"
"1632276019342679600","29.7619","5","Person","OK","IDLE","0.461893 0.0147274 -0.496472","0.0861609 -0.0322831 0.0249153","0.499015 0.456378 0.499015","87.898","0 0 0","0 0 0 1"
"1632276019342679600","29.7619","3","Person","OK","IDLE","0.087114 -0.454952 -1.922","-0.986798 -0.134793 0.345371","0.588472 1.06371 0.588472","88.7138","0 0 0","0 0 0 1"
"1632276019409759600","29.7619","5","Person","OK","IDLE","0.475905 0.0150269 -0.490131","0.244625 -0.0191623 0.126095","0.499523 0.458096 0.499523","79.1027","0 0 0","0 0 0 1"
"1632276019409759600","29.7619","3","Person","OK","IDLE","0.0380356 -0.47206 -1.89331","-0.326058 -0.351884 0.392763","0.599847 1.06228 0.599847","91.7461","0 0 0","0 0 0 1"
"1632276019476618600","29.4118","5","Person","OK","IDLE","0.499606 0.0185375 -0.488892","0.383959 -0.00881056 0.130474","0.50058 0.461919 0.50058","80.1694","0 0 0","0 0 0 1"
"1632276019476618600","29.4118","3","Person","OK","IDLE","0.0513918 -0.501965 -1.87205","0.43406 -0.554644 0.260496","0.588963 1.05883 0.588963","92.4856","0 0 0","0 0 0 1"
"1632276019543437600","29.4118","5","Person","SEARCHING","IDLE","0.452236 -0.0514192 -0.532089","0.311398 0.0586594 0.364047","0.500216 0.433003 0.500216","51.1028","0 0 0","0 0 0 1"
"1632276019543437600","29.4118","3","Person","OK","IDLE","0.113573 -0.555327 -1.84943","1.16345 -1.13491 0.51152","0.572789 1.05393 0.572789","74.8145","0 0 0","0 0 0 1"
"1632276019543437600","29.4118","8","Person","OFF","MOVING","nan nan nan","nan nan nan","0 0 0","51.2231","0 0 0","0 0 0 1"
"1632276019610316600","30.2115","3","Person","OK","IDLE","0.171762 -0.590747 -1.87177","0.686564 -0.292714 -0.341426","0.554814 1.04435 0.554814","84.1048","0 0 0","0 0 0 1"
"1632276019610316600","30.2115","9","Person","OFF","IDLE","1.25284 -2.1056 -4.91205","1.76903 -0.306094 0.214144","0.500253 0.875635 0.500254","51.8009","0 0 0","0 0 0 1"
"1632276019677417600","30.303","3","Person","OK","IDLE","0.0920896 -0.564699 -1.88554","-1.5839 0.418902 -0.0550249","0.549471 1.03034 0.549471","88.1201","0 0 0","0 0 0 1"
"1632276019744109600","30.303","3","Person","OK","IDLE","-0.0124901 -0.493235 -1.90212","-1.32926 1.48504 -0.37752","0.552765 1.01645 0.552765","81.9809","0 0 0","0 0 0 1"
"1632276019811154600","30.6748","3","Person","OK","IDLE","-0.0421953 -0.354286 -1.94479","-0.160738 2.12418 -0.745807","0.557418 1.00794 0.557418","88.5271","0 0 0","0 0 0 1"
"1632276019811154600","30.6748","8","Person","TERMINATE","MOVING","nan nan nan","nan nan nan","0 0 0","51.2231","0 0 0","0 0 0 1"
"1632276019877780600","30.6748","3","Person","OK","IDLE","0.0107213 -0.214325 -2.00064","1.18726 2.09937 -0.769618","0.561885 1.00857 0.561885","80.7894","0 0 0","0 0 0 1"
"1632276019944765600","29.9401","3","Person","OK","IDLE","0.112902 -0.14299 -2.05035","1.57575 0.786541 -0.568653","0.564497 1.02131 0.564497","92.1378","0 0 0","0 0 0 1"
"1632276020011907600","29.7619","3","Person","OK","IDLE","0.227861 -0.212241 -2.07551","1.75842 -0.857764 -0.326814","0.575805 1.04189 0.575805","88.9667","0 0 0","0 0 0 1"
"1632276020078745600","29.9401","3","Person","OK","IDLE","0.346929 -0.329742 -2.07735","1.55651 -1.43691 0.00953463","0.580878 1.06308 0.580878","90.2283","0 0 0","0 0 0 1"
"1632276020145687600","29.8507","3","Person","OK","IDLE","0.437283 -0.390355 -2.09147","1.4026 -0.474308 -0.230996","0.582238 1.07987 0.582238","87.9492","0 0 0","0 0 0 1"
"1632276020145687600","29.8507","9","Person","TERMINATE","IDLE","1.05596 -1.83105 -5.09452","4.23623 -0.497872 0.623926","0.498041 0.870005 0.49804","51.8009","0 0 0","0 0 0 1"
"1632276020212547600","29.8507","10","Person","OFF","IDLE","-1.03619 -0.814189 -1.80697","2.07632 -3.62433 -0.28133","0.501962 0.197365 0.501962","50.1276","0 0 0","0 0 0 1"
"1632276020212547600","29.8507","3","Person","OK","IDLE","0.586969 -0.510582 -2.06933","2.16329 -2.41545 0.692946","0.601155 1.09988 0.601155","71.4005","0 0 0","0 0 0 1"
"1632276020279399600","29.9401","3","Person","OK","IDLE","0.724387 -0.627192 -2.02568","1.8544 -1.614 0.568521","0.603328 1.10542 0.603328","85.2656","0 0 0","0 0 0 1"
"1632276020346410600","30.03","3","Person","OK","IDLE","0.750645 -0.66047 -2.0238","-0.491398 -0.576203 -0.169719","0.593643 1.0894 0.593643","89.4928","0 0 0","0 0 0 1"
