1606220907600894661,-0.55848 0.229882 -0.333411,-0.56147 0.055548 -0.815845,-0.0485704 0.0467525 -0.815845,-0.0455808 0.221087 -0.333411,-0.565872 -0.201168 -0.177599,-0.568862 -0.375503 -0.660033,-0.0559623 -0.384298 -0.660033,-0.0529727 -0.209964 -0.177599,
1606220907667414661,-0.572985 0.233163 -0.335595,-0.577641 0.05269 -0.812979,-0.067431 0.0395263 -0.812979,-0.0627747 0.219999 -0.335595,-0.584094 -0.19741 -0.17271,-0.58875 -0.377883 -0.650095,-0.07854 -0.391047 -0.650095,-0.0738837 -0.210574 -0.17271,
1606220907733563661,-0.578453 0.233753 -0.336914,-0.584554 0.0530543 -0.811976,-0.0765392 0.0359031 -0.811976,-0.0704387 0.216602 -0.336914,-0.592946 -0.195524 -0.173444,-0.599047 -0.376223 -0.648506,-0.0910321 -0.393374 -0.648506,-0.0849316 -0.212675 -0.173444,
1606220907799788661,-0.579003 0.230299 -0.33555,-0.584253 0.0556093 -0.811095,-0.0778384 0.0403895 -0.811095,-0.0725883 0.215079 -0.33555,-0.591954 -0.200621 -0.177111,-0.597204 -0.375311 -0.652656,-0.0907892 -0.39053 -0.652656,-0.0855392 -0.215841 -0.177111,
1606220907866162661,-0.581376 0.232493 -0.335512,-0.586652 0.0600619 -0.810467,-0.0815742 0.0446073 -0.810467,-0.0762981 0.217038 -0.335512,-0.594576 -0.198875 -0.178759,-0.599852 -0.371306 -0.653715,-0.0947734 -0.38676 -0.653715,-0.0894973 -0.21433 -0.178759,
1606220907932578661,-0.58335 0.236609 -0.337841,-0.590454 0.0610463 -0.810491,-0.0866145 0.0406576 -0.810491,-0.0795102 0.21622 -0.337841,-0.600784 -0.194221 -0.177551,-0.607888 -0.369783 -0.6502,-0.104049 -0.390172 -0.6502,-0.0969444 -0.214609 -0.177551,
1606220907998770661,-0.57865 0.240423 -0.341641,-0.58785 0.063356 -0.812784,-0.0851269 0.0372355 -0.812784,-0.0759268 0.214302 -0.341641,-0.601009 -0.189899 -0.179479,-0.610209 -0.366966 -0.650622,-0.107486 -0.393086 -0.650622,-0.0982855 -0.21602 -0.179479,
1606220908064931661,-0.57595 0.243112 -0.341993,-0.585227 0.0690949 -0.813545,-0.0832192 0.0423311 -0.813545,-0.0739417 0.216348 -0.341993,-0.598983 -0.188927 -0.182104,-0.608261 -0.362944 -0.653656,-0.106253 -0.389708 -0.653656,-0.0969753 -0.215691 -0.182104,
1606220908131587661,-0.573458 0.244824 -0.343683,-0.583661 0.0700694 -0.814362,-0.0823379 0.0407986 -0.814362,-0.0721345 0.215553 -0.343683,-0.598692 -0.187368 -0.182671,-0.608895 -0.362122 -0.65335,-0.107572 -0.391393 -0.65335,-0.097369 -0.216639 -0.182671,
1606220908197695661,-0.569056 0.246922 -0.34542,-0.580255 0.0711788 -0.815242,-0.0795289 0.0392717 -0.815242,-0.0683302 0.215015 -0.34542,-0.596599 -0.18531 -0.183081,-0.607797 -0.361053 -0.652904,-0.107071 -0.39296 -0.652904,-0.0958727 -0.217217 -0.183081,
1606220908263912661,-0.565019 0.24718 -0.34731,-0.57687 0.0700985 -0.816241,-0.0765961 0.0366173 -0.816241,-0.0647448 0.213699 -0.34731,-0.593916 -0.184597 -0.183528,-0.605767 -0.361679 -0.65246,-0.105493 -0.39516 -0.65246,-0.0936418 -0.218079 -0.183528,
1606220908330323661,-0.560791 0.248966 -0.347341,-0.572811 0.0738125 -0.816694,-0.0728725 0.0395043 -0.816694,-0.0608525 0.214658 -0.347341,-0.590441 -0.183091 -0.185346,-0.602461 -0.358245 -0.654699,-0.102522 -0.392553 -0.654699,-0.0905025 -0.217399 -0.185346,
1606220908396712661,-0.557728 0.249896 -0.347132,-0.570244 0.0756472 -0.816571,-0.0706401 0.0397596 -0.816571,-0.0581234 0.214009 -0.347132,-0.58878 -0.182399 -0.185842,-0.601297 -0.356648 -0.655281,-0.101693 -0.392536 -0.655281,-0.089176 -0.218287 -0.185842,
